world мир
cat кошка
dog собака
money деньги
house дом
car машина
time время
water вода
food еда
school школа
city город
book книга
friend друг
job работа
man мужчина
woman женщина
child ребенок
sun солнце
tree дерево
flower цветок
door дверь
window окно
table стол
chair стул
pen ручка
paper бумага
phone телефон
computer компьютер
bed кровать
light свет
fire огонь
air воздух
earth земля
rain дождь
snow снег
wind ветер
sky небо
star звезда
moon луна
head голова
hand рука
eye глаз
ear ухо
face лицо
heart сердце
father отец
mother мать
son сын
daughter дочь
brother брат
sister сестра
king король
teacher учитель
student ученик
doctor врач
street улица
park парк
shop магазин
country страна
people люди
life жизнь
love любовь
day день
night ночь
morning утро
evening вечер
summer лето
winter зима
spring весна
autumn осень
red красный
green зеленый
blue синий
black черный
white белый
big большой
small маленький
hot горячий
cold холодный
good хороший
bad плохой
fast быстрый
slow медленный
high высокий
low низкий
long длинный
short короткий
new новый
old старый
strong сильный
weak слабый
happy счастливый
sad грустный
beautiful красивый
ugly уродливый
easy легкий
difficult трудный
right правильный
wrong неправильный
apple яблоко
banana банан
bread хлеб
tea чай
coffee кофе
milk молоко
egg яйцо
salt соль
sugar сахар
rain дождь
snow снег
fire огонь
air воздух
earth земля
sky небо
star звезда
moon луна
flower цветок
grass трава
bird птица
fish рыба
horse лошадь
cow корова
paper бумага
pen ручка
pencil карандаш
key ключ
bag сумка
money деньги
clock часы
phone телефон
computer компьютер
music музыка
song песня
film фильм
game игра
ball мяч
party вечеринка
holiday праздник
love любовь
dream сон
hope надежда
fear страх
pain боль
smile улыбка
laugh смех
voice голос
sound звук
light свет
dark темнота
heat жара
cold холод
wind ветер
ice лед
stone камень
sand песок
glass стекло
metal металл
wood дерево
plastic пластик
cloth ткань
gold золото
silver серебро
iron железо
steel сталь
road дорога
path тропа
bridge мост
river река
lake озеро
sea море
ocean океан
hill холм
mountain гора
forest лес
field поле
garden сад
farm ферма
factory фабрика
office офис
hospital больница
hotel отель
bank банк
church церковь
art искусство
science наука
math математика
history история
map карта
plan план
idea идея
news новости
reason причина
result результат
change изменение
speed скорость
power сила
energy энергия
space пространство
shape форма
size размер
weight вес
price цена
cost стоимость
value ценность
0
